sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
113;BME280;3093;48.809;9.181;2019-02-10T04:02:56;97098.15;;;7.09;91.66
113;BME280;3093;48.809;9.181;2019-02-10T04:05:25;97093.31;;;7.15;91.76
113;BME280;3093;48.809;9.181;2019-02-10T04:07:54;97089.26;;;7.29;89.40
113;BME280;3093;48.809;9.181;2019-02-10T04:10:22;97091.83;;;7.43;88.52
113;BME280;3093;48.809;9.181;2019-02-10T04:12:51;97090.20;;;7.42;89.08
113;BME280;3093;48.809;9.181;2019-02-10T04:15:20;97093.85;;;7.31;89.63
113;BME280;3093;48.809;9.181;2019-02-10T04:17:48;97079.71;;;7.44;88.67
113;BME280;3093;48.809;9.181;2019-02-10T04:20:16;97075.11;;;7.42;89.48
113;BME280;3093;48.809;9.181;2019-02-10T04:22:45;97086.64;;;7.41;88.91
113;BME280;3093;48.809;9.181;2019-02-10T04:25:14;97081.82;;;7.38;89.52
113;BME280;3093;48.809;9.181;2019-02-10T04:27:42;97077.05;;;7.41;89.63
113;BME280;3093;48.809;9.181;2019-02-10T04:30:10;97055.03;;;7.44;89.18
113;BME280;3093;48.809;9.181;2019-02-10T04:32:39;97035.02;;;7.52;88.31
113;BME280;3093;48.809;9.181;2019-02-10T04:35:08;97022.63;;;7.60;87.52
113;BME280;3093;48.809;9.181;2019-02-10T04:37:36;97023.19;;;7.60;87.49
113;BME280;3093;48.809;9.181;2019-02-10T04:40:06;97029.34;;;7.57;87.55
113;BME280;3093;48.809;9.181;2019-02-10T04:42:35;97030.30;;;7.52;88.44
113;BME280;3093;48.809;9.181;2019-02-10T04:45:03;97029.75;;;7.53;88.42
113;BME280;3093;48.809;9.181;2019-02-10T04:48:17;97027.67;;;7.41;90.60
113;BME280;3093;48.809;9.181;2019-02-10T04:50:45;97033.38;;;7.51;89.09
113;BME280;3093;48.809;9.181;2019-02-10T04:53:14;97021.19;;;7.31;91.50
113;BME280;3093;48.809;9.181;2019-02-10T04:55:42;97020.52;;;7.43;91.17
113;BME280;3093;48.809;9.181;2019-02-10T04:58:11;97018.74;;;7.38;90.93
113;BME280;3093;48.809;9.181;2019-02-10T05:00:59;97017.45;;;7.36;91.29
113;BME280;3093;48.809;9.181;2019-02-10T05:03:27;97012.18;;;7.22;93.03
113;BME280;3093;48.809;9.181;2019-02-10T05:05:55;96995.58;;;7.42;90.45
113;BME280;3093;48.809;9.181;2019-02-10T05:08:24;97005.52;;;7.32;92.05
113;BME280;3093;48.809;9.181;2019-02-10T05:10:52;96986.17;;;7.28;93.32
113;BME280;3093;48.809;9.181;2019-02-10T05:13:21;96987.35;;;7.42;91.56
113;BME280;3093;48.809;9.181;2019-02-10T05:15:50;96975.94;;;7.31;92.77
113;BME280;3093;48.809;9.181;2019-02-10T05:18:18;96958.02;;;7.34;92.32
113;BME280;3093;48.809;9.181;2019-02-10T05:20:47;96951.59;;;7.30;92.09
113;BME280;3093;48.809;9.181;2019-02-10T05:23:16;96962.31;;;7.29;92.68
113;BME280;3093;48.809;9.181;2019-02-10T05:25:44;96966.94;;;7.22;92.82
113;BME280;3093;48.809;9.181;2019-02-10T05:28:13;96961.02;;;7.26;93.33
113;BME280;3093;48.809;9.181;2019-02-10T05:30:41;96951.31;;;7.14;93.33
113;BME280;3093;48.809;9.181;2019-02-10T05:33:10;96937.56;;;7.23;92.63
113;BME280;3093;48.809;9.181;2019-02-10T05:35:38;96916.72;;;7.39;91.84
113;BME280;3093;48.809;9.181;2019-02-10T05:38:06;96930.17;;;7.38;91.55
113;BME280;3093;48.809;9.181;2019-02-10T05:40:54;96912.77;;;7.34;92.54
113;BME280;3093;48.809;9.181;2019-02-10T05:43:23;96901.52;;;7.41;91.46
113;BME280;3093;48.809;9.181;2019-02-10T05:45:51;96906.08;;;7.37;91.38
113;BME280;3093;48.809;9.181;2019-02-10T05:48:20;96902.41;;;7.39;91.20
113;BME280;3093;48.809;9.181;2019-02-10T05:50:48;96908.16;;;7.40;90.92
113;BME280;3093;48.809;9.181;2019-02-10T05:53:17;96904.45;;;7.36;92.13
113;BME280;3093;48.809;9.181;2019-02-10T05:55:45;96905.29;;;7.28;92.47
113;BME280;3093;48.809;9.181;2019-02-10T05:58:13;96905.60;;;7.12;94.82
113;BME280;3093;48.809;9.181;2019-02-10T06:00:42;96902.38;;;7.10;94.67
113;BME280;3093;48.809;9.181;2019-02-10T06:03:10;96885.87;;;7.04;95.52
113;BME280;3093;48.809;9.181;2019-02-10T06:05:39;96889.02;;;7.00;96.19
113;BME280;3093;48.809;9.181;2019-02-10T06:08:07;96883.67;;;7.12;95.08
113;BME280;3093;48.809;9.181;2019-02-10T06:10:37;96879.78;;;7.13;95.68
113;BME280;3093;48.809;9.181;2019-02-10T06:13:06;96874.22;;;7.16;94.75
113;BME280;3093;48.809;9.181;2019-02-10T06:15:34;96859.02;;;7.27;94.93
113;BME280;3093;48.809;9.181;2019-02-10T06:18:03;96855.80;;;7.25;94.60
113;BME280;3093;48.809;9.181;2019-02-10T06:20:31;96849.81;;;7.31;93.98
113;BME280;3093;48.809;9.181;2019-02-10T06:22:59;96850.51;;;7.34;93.79
113;BME280;3093;48.809;9.181;2019-02-10T06:25:28;96837.83;;;7.36;93.47
113;BME280;3093;48.809;9.181;2019-02-10T06:27:56;96833.92;;;7.31;94.03
113;BME280;3093;48.809;9.181;2019-02-10T06:30:25;96835.70;;;7.41;93.20
113;BME280;3093;48.809;9.181;2019-02-10T06:32:53;96834.87;;;7.35;93.37
113;BME280;3093;48.809;9.181;2019-02-10T06:35:22;96844.07;;;7.30;93.87
113;BME280;3093;48.809;9.181;2019-02-10T06:37:51;96836.72;;;7.22;95.46
113;BME280;3093;48.809;9.181;2019-02-10T06:40:19;96843.65;;;7.20;96.02
113;BME280;3093;48.809;9.181;2019-02-10T06:42:48;96841.30;;;7.24;95.13
113;BME280;3093;48.809;9.181;2019-02-10T06:45:16;96836.59;;;7.10;97.10
113;BME280;3093;48.809;9.181;2019-02-10T06:47:45;96840.08;;;7.28;94.69
113;BME280;3093;48.809;9.181;2019-02-10T06:50:14;96846.39;;;7.20;96.29
113;BME280;3093;48.809;9.181;2019-02-10T06:52:42;96841.59;;;7.31;94.86
113;BME280;3093;48.809;9.181;2019-02-10T06:55:10;96847.20;;;7.20;95.88
113;BME280;3093;48.809;9.181;2019-02-10T06:57:39;96840.99;;;7.17;94.96
113;BME280;3093;48.809;9.181;2019-02-10T07:03:36;96834.44;;;7.53;91.62
113;BME280;3093;48.809;9.181;2019-02-10T07:09:20;96814.98;;;7.52;91.99
113;BME280;3093;48.809;9.181;2019-02-10T07:27:40;96780.08;;;8.03;86.77
113;BME280;3093;48.809;9.181;2019-02-10T07:34:27;96761.39;;;7.96;87.19
113;BME280;3093;48.809;9.181;2019-02-10T07:49:18;96695.17;;;7.98;86.42
113;BME280;3093;48.809;9.181;2019-02-10T07:58:22;96679.78;;;8.11;86.80
113;BME280;3093;48.809;9.181;2019-02-10T08:04:40;96674.83;;;8.37;83.68
113;BME280;3093;48.809;9.181;2019-02-10T08:29:40;96624.89;;;8.96;77.67
113;BME280;3093;48.809;9.181;2019-02-10T08:39:07;96609.25;;;9.24;75.19
113;BME280;3093;48.809;9.181;2019-02-10T08:53:44;96588.99;;;9.44;74.85
113;BME280;3093;48.809;9.181;2019-02-10T08:56:13;96574.30;;;9.52;73.78
113;BME280;3093;48.809;9.181;2019-02-10T08:58:41;96571.37;;;9.39;74.20
113;BME280;3093;48.809;9.181;2019-02-10T09:01:10;96572.00;;;9.26;75.34
113;BME280;3093;48.809;9.181;2019-02-10T09:03:38;96579.11;;;9.21;76.52
113;BME280;3093;48.809;9.181;2019-02-10T09:06:07;96566.44;;;9.38;75.31
113;BME280;3093;48.809;9.181;2019-02-10T09:08:35;96544.23;;;9.53;73.44
113;BME280;3093;48.809;9.181;2019-02-10T09:11:04;96538.25;;;9.57;73.35
113;BME280;3093;48.809;9.181;2019-02-10T09:13:32;96532.81;;;9.66;73.37
113;BME280;3093;48.809;9.181;2019-02-10T09:16:20;96519.38;;;9.71;73.04
113;BME280;3093;48.809;9.181;2019-02-10T09:18:48;96515.52;;;9.82;73.52
113;BME280;3093;48.809;9.181;2019-02-10T09:21:17;96502.81;;;9.93;71.99
113;BME280;3093;48.809;9.181;2019-02-10T09:23:45;96491.80;;;9.93;72.36
113;BME280;3093;48.809;9.181;2019-02-10T09:26:14;96482.27;;;9.81;72.77
113;BME280;3093;48.809;9.181;2019-02-10T09:28:42;96476.41;;;9.82;74.14
113;BME280;3093;48.809;9.181;2019-02-10T09:31:11;96481.83;;;9.79;74.22
113;BME280;3093;48.809;9.181;2019-02-10T09:33:39;96478.52;;;9.89;74.11
113;BME280;3093;48.809;9.181;2019-02-10T09:36:08;96472.61;;;9.96;73.44
113;BME280;3093;48.809;9.181;2019-02-10T09:38:37;96467.02;;;9.93;73.97
113;BME280;3093;48.809;9.181;2019-02-10T09:41:05;96450.73;;;9.94;73.59
113;BME280;3093;48.809;9.181;2019-02-10T09:43:34;96461.88;;;10.07;73.51
113;BME280;3093;48.809;9.181;2019-02-10T09:46:02;96454.89;;;10.44;71.46
113;BME280;3093;48.809;9.181;2019-02-10T09:48:31;96450.27;;;10.77;69.91
113;BME280;3093;48.809;9.181;2019-02-10T09:50:59;96440.48;;;10.98;68.81
113;BME280;3093;48.809;9.181;2019-02-10T09:53:28;96435.73;;;11.18;68.32
113;BME280;3093;48.809;9.181;2019-02-10T09:55:56;96432.00;;;11.39;67.31
113;BME280;3093;48.809;9.181;2019-02-10T09:58:25;96422.38;;;11.52;65.89
113;BME280;3093;48.809;9.181;2019-02-10T10:00:54;96410.98;;;11.44;66.83
113;BME280;3093;48.809;9.181;2019-02-10T10:03:22;96412.63;;;11.58;65.71
113;BME280;3093;48.809;9.181;2019-02-10T10:05:51;96394.45;;;11.67;64.20
113;BME280;3093;48.809;9.181;2019-02-10T10:08:19;96389.38;;;11.82;63.48
113;BME280;3093;48.809;9.181;2019-02-10T10:10:47;96392.80;;;12.11;62.45
113;BME280;3093;48.809;9.181;2019-02-10T10:13:16;96397.46;;;12.33;61.76
113;BME280;3093;48.809;9.181;2019-02-10T10:15:44;96394.77;;;12.53;61.28
113;BME280;3093;48.809;9.181;2019-02-10T10:18:13;96388.20;;;12.65;60.02
113;BME280;3093;48.809;9.181;2019-02-10T10:20:41;96376.92;;;12.80;58.54
113;BME280;3093;48.809;9.181;2019-02-10T10:23:10;96355.04;;;13.01;58.19
113;BME280;3093;48.809;9.181;2019-02-10T10:25:38;96339.20;;;12.98;57.65
113;BME280;3093;48.809;9.181;2019-02-10T10:28:07;96339.20;;;12.98;57.65
113;BME280;3093;48.809;9.181;2019-02-10T10:30:36;96363.84;;;12.94;58.18
113;BME280;3093;48.809;9.181;2019-02-10T10:33:04;96340.05;;;13.02;58.10
113;BME280;3093;48.809;9.181;2019-02-10T10:35:33;96340.05;;;13.02;58.10
113;BME280;3093;48.809;9.181;2019-02-10T10:38:01;96337.56;;;13.27;57.19
113;BME280;3093;48.809;9.181;2019-02-10T10:40:30;96337.56;;;13.27;57.19
113;BME280;3093;48.809;9.181;2019-02-10T10:42:58;96323.05;;;13.20;57.11
113;BME280;3093;48.809;9.181;2019-02-10T10:45:27;96338.39;;;13.34;56.76
113;BME280;3093;48.809;9.181;2019-02-10T10:47:55;96326.42;;;13.67;55.16
113;BME280;3093;48.809;9.181;2019-02-10T10:50:24;96326.42;;;13.67;55.16
113;BME280;3093;48.809;9.181;2019-02-10T10:52:52;96311.98;;;13.98;53.95
113;BME280;3093;48.809;9.181;2019-02-10T10:55:21;96311.98;;;13.98;53.95
113;BME280;3093;48.809;9.181;2019-02-10T10:57:49;96286.25;;;13.94;54.53
113;BME280;3093;48.809;9.181;2019-02-10T11:00:18;96264.32;;;14.06;54.46
113;BME280;3093;48.809;9.181;2019-02-10T11:02:46;96271.36;;;13.89;54.27
113;BME280;3093;48.809;9.181;2019-02-10T11:05:15;96272.82;;;14.00;54.41
113;BME280;3093;48.809;9.181;2019-02-10T11:07:43;96269.64;;;13.98;53.97
113;BME280;3093;48.809;9.181;2019-02-10T11:10:12;96263.53;;;14.02;54.41
113;BME280;3093;48.809;9.181;2019-02-10T11:12:40;96263.53;;;14.02;54.41
113;BME280;3093;48.809;9.181;2019-02-10T11:15:10;96237.34;;;13.92;54.06
113;BME280;3093;48.809;9.181;2019-02-10T11:17:39;96232.23;;;13.98;54.53
113;BME280;3093;48.809;9.181;2019-02-10T11:20:11;96232.23;;;13.98;54.53
113;BME280;3093;48.809;9.181;2019-02-10T11:22:39;96230.97;;;13.85;55.10
113;BME280;3093;48.809;9.181;2019-02-10T11:25:09;96230.97;;;13.85;55.10
113;BME280;3093;48.809;9.181;2019-02-10T11:27:38;96204.94;;;14.07;53.82
113;BME280;3093;48.809;9.181;2019-02-10T11:30:11;96204.94;;;14.07;53.82
113;BME280;3093;48.809;9.181;2019-02-10T11:32:39;96200.98;;;14.11;53.59
113;BME280;3093;48.809;9.181;2019-02-10T11:35:08;96189.16;;;14.25;53.36
113;BME280;3093;48.809;9.181;2019-02-10T11:37:37;96177.36;;;14.38;52.95
113;BME280;3093;48.809;9.181;2019-02-10T11:40:10;96177.36;;;14.38;52.95
113;BME280;3093;48.809;9.181;2019-02-10T11:42:38;96180.01;;;14.73;54.22
113;BME280;3093;48.809;9.181;2019-02-10T11:45:11;96184.57;;;14.99;52.02
113;BME280;3093;48.809;9.181;2019-02-10T11:47:40;96177.44;;;15.26;51.32
113;BME280;3093;48.809;9.181;2019-02-10T11:50:10;96168.73;;;15.14;50.95
